,通知内容,通知部门,通知时间
0,关于举办学校党委理论学习中心组（扩大）集体学习的通知,党委宣传部,今天   08:44
1,关于公布吉林大学2022年度公开招聘管理系列职员拟进入下一环节人选及后续相关事宜的通知,人力资源处,昨天   17:01
2,关于公布吉林大学2022年度公开招聘专业技术人员拟进入下一环节人选及后续相关事宜的通知,人力资源处,昨天   17:02
3,关于继续领取2021年度生育护理、围产补贴的通知,校医院,昨天   10:35
4,关于加强学校消防宣传工作的通知,保卫处、党委保卫部,2022-02-28
5,关于开展2021年度人才工作奖励支持及评先评优工作的通知,人才工作办公室,2022-02-28
6,关于组织开展2022年网站群建设工作报名的通知,大数据和网络管理中心,2022-02-28
7,关于我校附属第一幼儿园补充招生的通知,附属学校管理办公室,2022-02-28
8,吉林大学国家双创示范基地“校企行”专项行动：关于转发《中国石油天然气股份有限公司测井重点实验室...,教务处,今天   11:42
9,关于加强近期研究生管理工作的通知,研究生院,今天   10:28
10,关于参加2022届全国普通高校毕业生就业工作第二次调度视频会议的通知,学生就业创业指导与服务中心,今天   10:13
11,关于建立单位基金会联络员制度的通知,校友和基金工作办公室,今天   10:05
12,转发《2022年度国家自然科学基金委员会与土耳其科学技术研究理事会合作研究项目指南》的通知,科研院,今天   08:30
13,转发《国家自然科学基金委员会数学物理科学部2022年度第一期专项项目（科技活动项目）申请指南》的通知,科研院,今天   08:27
14,关于学习贯彻习近平总书记重要讲话精神提高党史学习教育专题民主生活会质量的通知,党委组织部,昨天   18:03
15,关于2022年度全国会计专业技术中级资格考试吉林省考区报名等工作安排的通知,人力资源处,昨天   16:45
16,关于司镇通等同志职务任免的通知,党委组织部,昨天   16:38
17,关于组织返校学生座谈会的通知,党委学生工作部、党委武装部,昨天   14:54
18,关于组织申报2022年度日本文部科学省外国留学生奖学金项目的通知,国际合作与交流处,昨天   14:18
19,关于编报2022年度日常党费使用预算的通知,党委组织部,昨天   13:39
20,关于发布全国专业学位研究生教育指导委员会新一届委员的通知,研究生院,昨天   13:37
21,关于公布首批吉林省研究生精品示范课程和专业学位研究生教学案例立项建设名单的通知,研究生院,昨天   13:37
22,关于办理2021年度个人所得税综合所得汇算清缴事项的通知,财务处,昨天   13:07
23,关于开展吉林大学2022年实验技术成果奖申报工作的通知,实验室管理处,昨天   11:12
24,关于召开2022年国家双创周主题展示项目申报及校级双创实践示范基地工作研讨会的通知,教务处,昨天   10:55
25,关于转发吉林省妇联《关于做好2022年吉林省“最美家庭”寻找推荐工作的通知》的通知,妇委会,昨天   10:23
26,关于开展2022届本科毕业论文（设计）教学工作检查的通知,教务处,昨天   10:13
27,关于核实2021年全国高校科技统计相关数据的通知,科研院,昨天   09:16
28,关于申报2022年度线上中日青少年科技交流计划基层对口项目的通知,国际合作与交流处,昨天   09:08
29,关于对国家重点研发计划“合成生物学”等2个重点专项2022年度项目申报指南征求意见的通知,科研院,昨天   08:47
30,关于确认2021-2022学年春季学期研究生“助教”“助管”岗位人员的通知,研究生院,昨天   08:40
31,关于申报2022年俄乌白艺术体育类项目的通知,国际合作与交流处,昨天   08:14
32,关于申报2022年赴俄乌白专业人才培养计划的通知,国际合作与交流处,昨天   08:14
33,关于做好2022年春季学期疫情防控常态化学生动态管理工作的通知,党委学生工作部、党委武装部,2022-02-28
34,关于2021～2022学年第二学期研究生教学安排的通知,研究生院,2022-02-28
35,关于白求恩医学部机关科级干部拟聘人选的公示,白求恩医学部,2022-02-28
36,关于做好2022年国家建设高水平大学公派研究生项目申报工作的通知,研究生院,2022-02-28
37,关于开展吉林大学东北振兴发展专项研究课题结项验收工作的通知,哲学社会学院,2022-02-28
38,关于聘任郭盈等５人为副教授职务的通知,人力资源处,2022-02-28
39,关于对国家重点研发计划“国家质量基础设施体系”重点专项2022年度项目申报指南征求意见的通知,科研院,2022-02-28
40,关于对国家重点研发计划“生物大分子与微生物组”等2个重点专项2022年度项目申报指南征求意见的通知,科研院,2022-02-28
41,关于印发《吉林大学哲学社会科学学术期刊管理办法》的通知,社会科学处,2022-02-28
42,后勤处面向校内公开招聘正科级干部的通知,后勤处,2022-02-28
43,第25次CCFCSP认证报名通知,计算机科学与技术学院,2022-02-28
44,关于变更学校资产入账凭单的通知,资产管理处,2022-02-28
45,关于开展某计划某领域青年拔尖人才推荐选拔工作的通知,科研院,2022-02-28
46,关于开展2022年度“某人才计划” 申报工作的通知,科研院,2022-02-28
47,关于南岭校区给水管道漏水需停水抢修的通知,后勤服务集团,2022-02-27
48,转发科技厅社发处《关于征集2023年度吉林省科技发展计划社会发展领域项目建议的通知》,科研院,2022-02-26
49,转发吉林省科技厅《关于发布第一批“揭榜挂帅”课题榜单的通知》,科研院,2022-02-25
50,关于2021年度吉林大学“金种子”优秀人才培养计划入选人员的公示（第二批）,人力资源处,2022-02-25
51,关于公布2021-2022第二学期心理咨询时间安排的通知,学生心理健康指导中心,2022-02-25
52,转发关于依托吉林大学重庆研究院 申报2022年重庆市自然科学基金项目的通知,科研院,2022-02-25
53,转发关于征集2023年度国家自然科学基金区域创新发展联合基金（重庆）项目指南建议的通知,科研院,2022-02-25
54,关于保卫处副科级干部拟聘人选的公示,保卫处、党委保卫部,2022-02-25
55,党委学生工作部面向校内公开招聘正科级干部的通知,党委学生工作部、党委武装部,2022-02-25
56,转发科技厅高新处《关于征集2023年度吉林省科技发展计划工业高新技术领域项目建议书的通知》,科研院,2022-02-25
57,关于组织全校教职工观影活动的通知,工会,2022-02-25
58,关于研究生院科级干部拟聘人选公示的通知,研究生院,2022-02-25
59,关于开展2022年春季学期初实验室安全检查工作的通知,实验室管理处,2022-02-24
60,吉林大学国际教育学院人才派遣（II类）人员招聘启事,国际教育学院,2022-02-24
61,关于组织申报2022年度日本文部科学省外国留学生奖学金项目的通知,国际合作与交流处,2022-02-24
62,关于浴池恢复正常营业的通知,后勤服务集团,2022-02-24
63,关于开展2022年俄乌白艺术体育类项目遴选工作的通知,人力资源处,2022-02-24
64,关于开展2022年与乌克兰国立技术大学合作奖学金项目遴选工作的通知,人力资源处,2022-02-24
65,关于开展2022年艺术类人才培养特别项目遴选工作的通知,人力资源处,2022-02-24
66,国际合作与交流处面向校内公开招聘工作人员的通知,国际合作与交流处,2022-02-24
67,关于日新楼恢复营业的通知,工会,2022-02-24
68,关于文学院暨新闻与传播学院科级干部拟聘人选的公示,文学院,2022-02-24
69,关于征集建设2023年度吉林省国际科技合作平台建议的通知,科研院,2022-02-24
70,关于闲置仪器设备调剂的公告,资产管理处,2022-02-24
71,关于参加2022年全国高教处长会议的通知,教务处,2022-02-24
72,关于遴选2022年度韩国互换奖学金项目申请人的通知,研究生院,2022-02-24
73,关于公布《吉林大学“十四五”事业发展规划》的决定,发展规划处,2022-02-23
74,关于做好2022年春季学期本（预）科生第三批开学返校相关工作的通知,党委学生工作部、党委武装部,2022-02-23
75,关于做好2022年春季学期开学第三批研究生返校工作的通知,研究生院,2022-02-23
76,关于组织开展第六批“吉林省青年科技人才托举工程”人选推荐工作的通知,科研院,2022-02-23
77,转发科技厅医药健康产业处《关于征集2023年度吉林省科技发展计划医药健康领域项目指南建议的通知》,科研院,2022-02-23
78,关于做好2021-2022学年第二学期本科生退、补选选课工作的通知,教务处,2022-02-23
79,关于公共卫生学院2022年公开招聘教师拟聘人选的公示,公共卫生学院,2022-02-23
80,人才工作办公室面向校内公开招聘工作人员的通知,人才工作办公室,2022-02-23
81,关于召开2022年春季学期开学研究生返校工作视频会议的通知,研究生院,2022-02-23
82,关于组织开展2022年度“中国汽车工程学会科学技术奖”（原中国汽车工业科学技术奖）提名工作的通知,科研院,2022-02-23
83,关于马克思主义学院科级干部拟聘人选的公示,马克思主义学院,2022-02-23
84,关于申报中外语言交流合作中心新汉学计划“海外高校线上学分课”项目的通知,国际合作与交流处,2022-02-23
85,关于开展2022年春季学期开学全员核酸检测的通知,校长办公室,2022-02-23
86,关于做好2021-2022学年第二学期本科教学检查相关工作的通知,教务处,2022-02-23
87,关于2021年励新优秀青年教师培养计划中层单位推荐人选公示的通知,人力资源处,2022-02-23
88,关于2022年上半年剑桥商务英语证书考试（BEC）报名的通知,考试中心,2022-02-23
89,关于学生餐厅开餐安排的通知,后勤服务集团,2022-02-23
90,关于校医院科级干部拟聘人选的公示,校医院,2022-02-23
91,转发《2022年度国家自然科学基金委员会与澳门科学技术发展基金联合科研资助基金合作研究项目指南》的通知,科研院,2022-02-23
92,关于教务处科级干部拟聘人选的公示,教务处,2022-02-23
93,关于公布2021年度吉林大学“十佳校园微信公众平台”“十佳校园微信公众平台指导单位”“十佳校园微信公...,党委宣传部,2022-02-22
94,关于对国家重点研发计划“基础科研条件与重大科学仪器设备研发”重点专项2022年度项目申报指南征求意见的通知,科研院,2022-02-22
95,关于对国家重点研发计划“长江黄河等重点流域水资源与水环境综合治理”等12个重点专项2022年度项目申...,科研院,2022-02-22
96,转发《2022年度国家自然科学基金委员会与欧洲城市化联合研究计划合作研究项目指南》的通知,科研院,2022-02-22
97,关于包洪岩等职务任免的通知,人力资源处,2022-02-21
98,关于做好2022年春季学期本科教学开学准备相关工作的通知,教务处,2022-02-21
99,关于召开2022年领导干部个人有关事项报告工作专题动员部署会的通知,党委组织部,2022-02-21
100,关于做好2022年领导干部报告个人有关事项工作的通知,党委组织部,2022-02-21
101,关于举行纪念张德骏教授百年诞辰追思会的通知,生物与农业工程学院,2022-02-21
102,关于向日葵远程运维软件存在高危漏洞的预警通报,大数据和网络管理中心,2022-02-20
103,关于钉钉电脑版远程代码执行漏洞的预警通报,大数据和网络管理中心,2022-02-20
104,关于鲁晶同志任职的通知,党委组织部,2022-02-20
105,关于李国骅等同志任职的通知,党委组织部,2022-02-20
106,关于冀慧玲等同志任职的通知,党委组织部,2022-02-20
107,关于开展2022年度交通运输行业科技创新人才推进计划推荐工作的通知,科研院,2022-02-18
108,关于更新吉林省科学技术奖励评审专家信息库的通知,科研院,2022-02-18
109,转发科技厅农村处《关于征集2023年度吉林省科技发展计划农业领域项目建议的通知》,科研院,2022-02-18
110,转发国家自然科学基金委员会《关于发布后摩尔时代新器件基础研究重大研究计划2022年度项目指南的通告》,科研院,2022-02-18
111,关于对国家重点研发计划“农业生物重要性状形成与环境适应性基础研究”等15个重点专项2022年度项目申...,科研院,2022-02-18
112,关于防范钓鱼诈骗邮件的提醒（三）,大数据和网络管理中心,2022-02-17
113,关于申报国防科工局基础产品创新计划车用动力科研专项的通知,科研院,2022-02-17
114,转发吉林省科学技术厅《关于征集2023年度国家自然科学基金区域创新发展联合基金项目指南建议的通知》,科研院,2022-02-17
115,关于丁雅明等职务任免的通知,人力资源处,2022-02-17
116,关于刘东玲等职务任免的通知,人力资源处,2022-02-17
117,关于申报军委装备发展部“十四五”装备预研共用技术第二批指南补充公告（2022年）的通知,科研院,2022-02-17
118,转发《教育部科学技术与信息化司关于组织推荐高等学校2022年度国家重大科研仪器研制项目（部门推荐）的通知》,科研院,2022-02-16
119,关于提名2022年度何梁何利基金科学与技术奖候选人的通知,科研院,2022-02-15
120,关于拟推荐吉林大学于吉红为全国五一劳动奖章候选人的公示,工会,2022-02-14
121,关于申报军委装备发展部“十四五”装备预研共用技术第二批指南（2022年）的通知,科研院,2022-02-14
122,关于申报“脑机接口基础器件”预研项目的通知,科研院,2022-02-14
123,关于对国家重点研发计划“大气与土壤、地下水污染综合治理”等6个重点专项2022年度项目申报指南征求意...,科研院,2022-02-14
124,关于做好2022年春季学期本（预）科生第二批开学返校相关工作的通知,党委学生工作部、党委武装部,2022-02-12
125,转发《国家自然科学基金优秀青年科学基金项目（海外） 项目指南》的通知,科研院,2022-02-11
126,关于开展2022年度全国教育科学规划课题申报工作的通知,社会科学处,2022-02-11
127,关于做好2022年春季学期第二批错峰开学研究生返校工作的通知,研究生院,2022-02-11
128,关于开展2022“慧眼行动”创新成果征集的通知,科研院,2022-02-11
129,关于开展2022年度国家社科基金重大项目选题征集工作的通知,社会科学处,2022-02-10
130,关于征集2022年度保密相关科研项目的通知,科研院,2022-02-10
131,关于开展安全生产“大排查大治理”专项行动的通知,保卫处、党委保卫部,2022-02-10
132,转发国家自然科学基金委员会《关于发布西太平洋地球系统多圈层相互作用重大研究计划2022年度项目指南的通告》,科研院,2022-02-10
133,关于拟推荐吉林大学邵彦敏为市五一巾帼标兵候选人的公示,工会,2022-02-10
134,关于第二医院科级干部拟聘人选的公示,第二医院,2022-02-09
135,转发国家自然科学基金委员会部分重大研究计划指南的通知,科研院,2022-02-08
136,第二医院关于开展科级干部公开招聘工作的通知,第二医院,2022-02-08
137,关于对国家重点研发计划“催化科学”等5个重点专项2022年度项目申报指南征求意见的通知,科研院,2022-02-08
138,关于做好2022年春季学期第一批错峰返校研究生返校工作的通知,研究生院,2022-02-07
139,关于做好2022年春季学期本（预）科生开学返校相关工作的通知,党委学生工作部、党委武装部,2022-02-07
140,关于2022年春季学期开学返校有关安排的通知,"校长办公室,",2022-02-07
141,关于修剪中心校区中轴北侧行道树的通知,后勤处,2022-02-06
142,关于组织开展GF科技领域第十七届中国青年科技奖和第十八届中国青年女科学家奖提名工作的通知,科研院,2022-02-05
143,关于朝阳校区部分楼宇停水的通知,后勤服务集团,2022-02-04
144,关于转发国家留学基金委奖学金项目的通知,国际合作与交流处,2022-02-04
145,关于开展2022年度“中德博士后交流项目” 申报工作的通知,人力资源处,2022-01-30
146,关于开展2022年度“澳门青年学者计划” 申报工作的通知,人力资源处,2022-01-30
147,关于开展2022年度“香江学者计划”申报工作的通知,人力资源处,2022-01-30
148,关于开展2022年度 “博士后国际交流计划” 学术交流项目申报工作的通知,人力资源处,2022-01-30
149,关于组织开展2022年度“博士后国际交流计划” 派出项目申报工作的通知,人力资源处,2022-01-30
150,关于组织开展2022年“博士后国际交流计划” 引进项目申报工作的通知,人力资源处,2022-01-30
151,关于申报2022年度教育部人文社会科学研究专项任务项目（高校辅导员研究）的通知,党委学生工作部、党委武装部,2022-01-30
152,关于除夕就餐时间更改的通知,后勤服务集团,2022-01-29
153,关于申报2022年度教育部高校思想政治理论课教师研究专项一般项目的通知,社会科学处,2022-01-29
154,关于申报2022年度教育部人文社会科学研究一般项目的通知,社会科学处,2022-01-29
155,关于申报2022年度教育部人文社会科学研究专项任务项目（中国特色社会主义理论体系研究）的通知,社会科学处,2022-01-29
156,关于口腔医院科级干部拟聘人选的公示,口腔医院（白求恩口腔医学院）,2022-01-29
157,转发国家自然科学基金委员会《关于征集2022年度地球科学领域重大项目立项领域建议的通告》,科研院,2022-01-28
158,关于开展征集2022年全国大众创业万众创新活动周主题展示项目的通知,教务处,2022-01-28
159,关于第二医院科级干部拟聘人选的公示,第二医院,2022-01-28
160,关于张丽等职务任免的通知,人力资源处,2022-01-28
161,关于春节期间留校学生饮食服务保障工作的通知,后勤服务集团,2022-01-28
162,关于贯彻落实教育部办公厅校园安全工作视频会议精神的通知,保卫处、党委保卫部,2022-01-27
163,转发《国家自然科学基金外国学者研究基金项目指南》的通知,科研院,2022-01-26
164,转发《2022年度国家自然科学基金委员会与香港研究资助局联合科研资助基金合作研究重点项目指南》的通知,科研院,2022-01-26
165,关于开展2022年度“博士后创新人才支持计划”  申报工作的通知,人力资源处,2022-01-25
166,关于开展寒假期间学生公寓安全隐患排查工作的通知,党委学生工作部、党委武装部,2022-01-25
167,关于申报2022年春季学期“吉大学子全球胜任力提升计划”的通知,国际合作与交流处,2022-01-24
168,关于转发《教育部办公厅关于切实做好岁末年初及寒假期间校园安全工作的通知》的通知,保卫处、党委保卫部,2022-01-24
169,关于本科教务管理系统暂停访问的通知,教务处,2022-01-23
170,关于《吉林大学章程修正案（草案）》公开征求意见的通知,政策与法规办公室,2022-01-22
171,关于开展“落责任、查隐患、除风险、保安全”专项行动的通知,保卫处、党委保卫部,2022-01-21
172,关于申报2021年共用信息系统装备预研（基础类目）指南项目的通知,科研院,2022-01-21
173,关于组织教师参加课程思政建设学术研讨会的通知,教务处,2022-01-21
174,关于开展第十七届中国青年科技奖候选人提名工作的补充通知,科研院,2022-01-21
175,关于第二十七届中国日报社“21世纪杯”全国大学生英语演讲比赛吉林大学校园选拔赛报名工作的通知,外国语学院,2022-01-21
176,关于张本龙同志免职的通知,党委组织部,2022-01-21
177,关于滕文龙等职务任免的通知,人力资源处,2022-01-21
178,吉林大学公共外语教育学院2022年公开招聘教师启事,公共外语教育学院,2022-01-20
179,转发《关于调整2022年度中日韩前瞻计划项目申报时间的通知》,科研院,2022-01-19
180,转发《关于调整2022年度国家自然科学基金委员会与美国国家科学基金会可持续区域系统合作研究项目申报时...,科研院,2022-01-19
181,关于2022年度国家自然科学基金申请工作安排的补充通知,科研院,2022-01-19
182,关于开展2022年度外国专家项目预申报的通知,国际合作与交流处,2022-01-19
183,关于口腔医院2022年招聘教师拟聘人选的公示,口腔医院（白求恩口腔医学院）,2022-01-18
184,关于中心校区部分楼宇（区域）停电通知,后勤服务集团,2022-01-18
185,关于转发教科文组织教育部门项目协调官（P4级）岗位招聘的通知,人才工作办公室,2022-01-18
186,吉林大学海外孔子学院在线中文课程师资和课程助理招募通知,国际合作与交流处,2022-01-17
187,关于转发吉林大学盐城智能终端产业研究院 2022年度科研项目申报的通知,科研院,2022-01-17
188,关于开展2022年度“机械工业科学技术奖”提名工作的通知,科研院,2022-01-16
189,关于“小马沙龙”（第4期）面向全校各学院本科生征稿的启事,马克思主义学院,2022-01-15
190,吉林大学地球科学学院2022年教师招聘启事,地球科学学院,2022-01-15
191,关于申报2022年度国家社会科学基金艺术学重大项目的通知,社会科学处,2022-01-13
192,关于申报2022年度国家社会科学基金艺术学项目的通知,社会科学处,2022-01-13
193,关于申报2022年度国家社科基金项目的通知,社会科学处,2022-01-13
194,2022年寒假期间研究生常态化疫情防控管理办法,研究生院,2022-01-13
195,关于参加2022届全国普通高校毕业生就业工作第一次调度视频会议的通知,学生就业创业指导与服务中心,2022-01-13
196,关于推荐及更新国家外国专家项目评审专家的通知,国际合作与交流处,2022-01-12
197,转发省科技厅国合处对2019年度项目进行验收的通知,科研院,2022-01-12
198,关于公布吉林大学2021年度“校园好网民”评选结果的通知,党委宣传部,2022-01-12
199,关于人才政策2.0版2021年度第二批次人才分类评审通过人选的公示,人才工作办公室,2022-01-11
200,关于申报2022年度吉林大学劳动关系专项研究课题的通知,马克思主义学院,2022-01-11
201,关于聘任附属医院董乃夫等351人为卫生技术系列中级、初级职务的通知,人力资源处,2022-01-11
202,关于开展2022年重点优质项目统计入库工作的通知,科研院,2022-01-11
203,关于推荐某军竞争性装备采购评审专家的通知,科研院,2022-01-11
204,吉林大学动物科学学院2022年公开招聘教师启事,动物科学学院,2022-01-11
205,关于《创新与创业教育研究》（2022年第1期）集刊征稿的通知,教务处,2022-01-11
206,关于公布2022年辅导员骨干在职攻读博士学位专项计划推荐人选结果的通知,党委学生工作部、党委武装部,2022-01-11
207,关于聘任冯丽为副教授职务的通知,人力资源处,2022-01-10
208,关于聘任徐红梅等6人为附属医院卫生技术系列 高级职务的通知,人力资源处,2022-01-10
209,关于聘任汤燕平为助教职务的通知,人力资源处,2022-01-10
210,关于聘任王慧媛等17人为讲师职务的通知,人力资源处,2022-01-10
211,关于聘任张竞月为副教授职务的通知,人力资源处,2022-01-10
212,关于聘任解放为副教授职务的通知,人力资源处,2022-01-10
213,关于聘任孟刚等2人为副教授职务的通知,人力资源处,2022-01-10
214,关于聘任吴宗铨为教授职务的通知,人力资源处,2022-01-10
215,关于聘任郭春方等2人为教授职务的通知,人力资源处,2022-01-10
216,关于对郭沫若中国历史学奖拟推荐申报成果进行公示的通知,社会科学处,2022-01-10
217,关于2021年度全国民族工作优秀调研报告评选工作的通知,社会科学处,2022-01-10
218,关于韩永昊等职务任免的通知,科研院,2022-01-10
219,关于孙天盟等聘任的通知,科研院,2022-01-10
220,关于邹永魁等聘任的通知,科研院,2022-01-10
221,关于基础医学院2022年公开招聘教师拟聘人选的公示,基础医学院,2022-01-10
222,关于公开招聘科研院先进技术研究院人才派遣人员（Ⅱ类）的通知,科研院,2022-01-10
223,国际合作与交流处关于寒假期间因公临时出国（境）业务对外办公时间安排的通知,国际合作与交流处,2022-01-10
224,关于2021年度“学科交叉融合创新” 青年学者自由探索类培育项目的立项公示,发展规划处,2022-01-10
225,关于申报2022年度吉林省社会科学基金项目的通知,社会科学处,2022-01-10
226,关于公示2021年度吉林大学“十佳校园微信公众平台”“十佳校园微信公众平台指导单位”“十佳校园微信公...,党委宣传部,2022-01-10
227,关于公布学生心理健康指导中心2021-2022第一学期寒假心理支持热线与面对面心理咨询安排的通知,学生心理健康指导中心,2022-01-10
228,关于公示吉林大学研究生校外合作导师拟聘任名单（第十二批）的通知,研究生院,2022-01-10
229,关于图书馆2022年寒假开馆的通知,图书馆,2022-01-10
230,关于举办2022年校园文化艺术实践系列大赛的通知,团委,2022-01-10
231,吉林大学文学院、新闻与传播学院2022年专业教师招聘启事,文学院,2022-01-10
232,关于刘晋禹同志任职的通知,党委组织部,2022-01-10
233,关于尤爽同志任职的通知,党委组织部,2022-01-10
234,关于程思阳同志职务任免的通知,党委组织部,2022-01-10
235,关于公布吉林大学2022-2023学年教学日历的通知,教务处,2022-01-10
236,关于2022年寒假期间图书馆查新中心工作安排的通知,图书馆,2022-01-10
237,关于聘任（晋升）朱晓非等为五、六级职员的通知,党委组织部,2022-01-10
238,关于聘任王巍等为五、六级职员的通知,党委组织部,2022-01-10
239,关于毕克山等职务任免的通知,人力资源处,2022-01-09
240,关于寒假期间各校区校门开放调整的通知,保卫处、党委保卫部,2022-01-09
241,关于2021年度吉林省抽检硕士学位论文评议工作的通知,研究生院,2022-01-09
242,关于推进落实中共吉林大学第十五次代表大会重点任务的通知,党委办公室,2022-01-09
243,关于组织开展“书香满庭芳·奋斗新征程” 书香三八读书活动的通知,工会,2022-01-09
244,关于公示吉林大学2020-2021学年十佳班主任、优秀班主任评选结果的通知,党委学生工作部、党委武装部,2022-01-09
245,关于做好寒假期间网络与信息安全工作的通知,大数据和网络管理中心,2022-01-09
246,关于召开寒假留校本科生专项工作会议的通知,党委学生工作部、党委武装部,2022-01-09
247,关于中心校区部分楼宇停水的通知,后勤服务集团,2022-01-09
248,关于调整我校教职工2022年养老保险、职业年金和失业险个人预扣款的通知,人力资源处,2022-01-09
249,财务处关于提前预拨付2022年预算相关事宜的通知,财务处,2022-01-08
250,关于公示吉林大学本科“十四五”规划教材立项结果的通知,教务处,2022-01-08
251,关于2021年度吉林大学研究生学科交叉融合学术交流分中心结项审批的通知,研究生院,2022-01-08
252,关于遴选2022年国家留学基金管理委员会与日本北海道大学合作奖学金项目候选人的通知,研究生院,2022-01-08
253,关于举办财务治理体系和能力系列培训讲座第六期——“学习贯彻中央经济工作会议精神”专题讲座的通知,财务处,2022-01-08
254,关于确立2022年课程思政“学科育人示范课程”项目立项的通知,教务处,2022-01-08
255,关于寒假期间各校区体育馆开放的通知,体育学院,2022-01-08
256,关于开展2021年度学校党建工作联络员聘期考核工作的通知,党委组织部,2022-01-08
257,关于公示2021年度“十佳研究生辅导员”“优秀研究生辅导员” 及研究生思政工作先进单位评选结果的通知,研究生院,2022-01-08
258,关于公示2022年吉林大学临床医务人员继续医学教育项目的通知,白求恩医学部,2022-01-08
259,关于成立“吉林大学工商管理硕士（MBA）教育中心” 的决定,党委机构编制委员会办公室,2022-01-08
260,关于成立“吉林大学商学与管理学院”的决定,党委机构编制委员会办公室,2022-01-08
261,关于国际合作与交流处面向校内公开招聘正科级干部的通知,国际合作与交流处,2022-01-08
262,关于撤销中国共产党吉林大学商学院纪律检查委员会、 中国共产党吉林大学管理学院纪律检查委员会的通知,党委组织部,2022-01-07
263,关于撤销中国共产党吉林大学商学院委员会、 中国共产党吉林大学管理学院委员会的通知,党委组织部,2022-01-07
264,关于李帅等职务任免的通知,党委组织部,2022-01-07
265,关于李帅等同志职务任免的通知,党委组织部,2022-01-07
266,关于蔡立东等任职的通知,党委组织部,2022-01-07
267,关于赵军同志任职的通知,党委组织部,2022-01-07
268,关于成立中国共产党吉林大学商学与管理学院纪律检查委员会的通知,党委组织部,2022-01-07
269,关于成立中国共产党吉林大学商学与管理学院委员会的通知,党委组织部,2022-01-07
270,关于公示2021年度“学生工作先进单位”评选结果的通知,党委学生工作部、党委武装部,2022-01-07
271,关于公示2021年度“吉林大学优秀博士后”评选结果的通知,人力资源处,2022-01-07
272,关于公示“鼎新实习计划”（第二批、第三批）推荐名单的通知,团委,2022-01-07
273,关于公布2020-2021学年第二学期《大学生职业发展指导》慕课优秀助教评选结果,学生就业创业指导与服务中心,2022-01-07
274,关于开展“求实思源·服务社会”优秀学生培养计划（第十期） 实践考察环节入围学员寒假实践活动和学业核查...,党委学生工作部、党委武装部,2022-01-07
275,关于举办黄大年教授逝世五周年纪念活动的通知,党委宣传部,2022-01-07
276,关于对丰硕进行考察的预告,党委组织部,2022-01-07
277,关于报送研究生培养各环节实施细则的通知,研究生院,2022-01-07
278,关于开展研究生寒假放假返乡集中送站工作的通知,研究生院,2022-01-07
279,关于开展教师心理健康专题讲座的通知,人力资源处,2022-01-07
280,关于寒假期间日新楼停止营业的通知,工会,2022-01-07
281,关于对吴量伟进行考察的预告,党委组织部,2022-01-07
282,关于2022年度全国会计专业技术初、高级资格考试报名等工作安排的通知,人力资源处,2022-01-07
283,关于进一步加强2022年寒假值班值守工作的通知,党委办公室,2022-01-06
284,关于公示吉林大学2021年度“校园好网民”评选结果的通知,党委宣传部,2022-01-06
285,关于加强寒假期间校园安全工作的通知,保卫处、党委保卫部,2022-01-06
286,关于寒假期间学生及教工餐厅开餐情况的通知,后勤服务集团,2022-01-06
287,关于组织参加教育部党史学习教育总结视频会议的通知,党委宣传部,2022-01-06
288,关于开展2022年度日本政府（文部科学省）教员研修生奖学金项目选拔工作的通知,人力资源处,2022-01-06
289,2022年“科学探索奖”申报通知,科研院,2022-01-06
290,关于征集2022年吉林大学专业技术人才知识更新工程高级研修项目的通知,继续教育学院,2022-01-06
291,关于在寒假期间开展大学生劳动实践主题活动的通知,党委学生工作部、党委武装部,2022-01-06
292,关于2022年寒假期间浴池营业时间安排的通知,后勤服务集团,2022-01-06
293,关于中心校区寒假期间封楼事宜的通知,教务处,2022-01-06
294,关于召开吉林大学党史学习教育总结会议的通知,党委宣传部,2022-01-06
295,关于举办学校领导与党外代表人士座谈会的通知,党委统战部,2022-01-06
296,人力资源处关于公开招聘工作人员拟聘人选的公示,人力资源处,2022-01-05
297,关于开展2022年辅导员骨干在职攻读博士学位专项计划推荐人选选拔工作的通知,党委学生工作部、党委武装部,2022-01-05
298,关于对2021年校教学委员会评审通过的特别渠道教师高级职务推荐人选进行公示的通知,教师教学发展中心,2022-01-05
299,关于2022年度国家自然科学基金申请与结题工作安排的通知,科研院,2022-01-05
300,关于拟推荐2021年长春市教科文卫体工会系统“模范职工小家”、“优秀工会干部”的公示,工会,2022-01-05
301,档案馆2022年寒假期间对外办公事项的通知,档案馆,2022-01-05
302,关于延续实施有关个人所得税优惠政策的通知,财务处,2022-01-05
303,校医院寒假期间核酸检测工作安排通知,校医院,2022-01-05
304,关于贯彻落实《教育部高等教育司关于深入推进高校课程思政建设的通知》的通知,教务处,2022-01-05
305,关于公示2021年度“十佳辅导员”“优秀辅导员”以及在辅导员岗位锻炼管理干部优秀等级人员评选结果的通知,党委学生工作部、党委武装部,2022-01-04
306,校长办公室面向校内公开招聘正科级干部及工作人员的通知,校长办公室,2022-01-04
307,关于印发《吉林大学无形资产管理办法》的通知,资产管理处,2022-01-04
308,关于召开同等学力申请学位人员课程水平认定考试工作协调会的通知,研究生院,2022-01-04
309,关于公示“鼎新实习计划”（第一批）推荐名单的通知,团委,2022-01-04
310,关于开通2022年“情暖冬日·学生返乡送站班车”的通知,党委学生工作部、党委武装部,2022-01-04
